,open,close
2015-06-11,33.17,34.39
2015-06-10,34.1,33.85
2015-06-09,30.46,33.34
2015-06-08,28.4,30.31
2015-06-05,27.37,28.19
2015-06-04,27.42,27.0
2015-06-03,28.25,27.42
2015-06-02,27.5,28.24
2015-06-01,25.86,27.18
2015-05-29,25.5,25.8
2015-05-28,27.95,25.27
2015-05-27,29.66,28.07
2015-05-26,29.92,29.66
2015-05-25,29.3,29.92
2015-05-22,29.87,29.54
2015-05-21,27.5,28.22
2015-05-20,24.1,25.65
2015-05-19,23.68,23.32
2015-05-18,22.28,23.07
2015-05-15,22.35,22.28
2015-05-14,20.84,22.14
2015-05-13,21.21,20.78
2015-05-12,20.78,21.21
2015-05-11,20.31,20.58
2015-05-08,19.1,20.0
2015-05-07,19.56,18.81
2015-05-06,20.85,19.47
2015-05-05,22.41,20.72
2015-05-04,22.2,22.25
2015-04-30,22.2,22.49
2015-04-29,21.73,22.09
2015-04-28,22.93,21.75
2015-04-27,22.56,22.92
2015-04-24,21.82,21.5
2015-04-23,22.0,21.81
2015-04-22,21.9,21.82
2015-04-21,21.0,21.71
2015-04-20,21.7,21.27
2015-04-17,22.6,22.06
2015-04-16,24.63,22.97
2015-04-15,23.45,24.38
2015-04-14,21.45,23.24
2015-04-13,19.6,21.13
2015-04-10,19.55,19.43
2015-04-09,18.28,19.62
2015-04-08,17.6,18.42
2015-04-07,16.54,17.54
2015-04-03,16.44,16.66
2015-04-02,16.21,16.44
2015-04-01,16.18,16.29
2015-03-31,16.78,16.17
2015-03-30,15.99,16.42
2015-03-27,14.9,15.77
2015-03-26,15.14,14.93
2015-03-25,15.97,15.3
2015-03-24,15.38,15.68
2015-03-23,15.34,15.38
2015-03-20,15.38,15.34
2015-03-19,15.2,15.38
2015-03-18,15.18,15.31
2015-03-17,14.9,15.18
2015-03-16,14.52,14.87
2015-03-13,14.13,14.47
2015-03-12,14.11,14.11
2015-03-11,14.8,14.3
2015-03-10,14.2,14.65
2015-03-09,14.14,14.31
2015-03-06,13.17,14.28
2015-03-05,12.88,13.16
2015-03-04,12.8,12.9
2015-03-03,12.52,12.7
2015-03-02,12.25,12.52
,open,close
